english,japanese
"board of directors",          "役員(会)"
"accounting department",       "経理部"
"marketing department",        "マーケティング部"
"human resources department",  "人事部　１"
"personnel department",        "人事部　２"
"administrative department",   "管理部"
"legal department",            "法務部"
"sales department",            "営業部"
"technology department",       "技術部"
"security department",         "保安部"
"purchasing department",       "購買部"
"payroll department",          "給与部"
"public relations department", "広報部"
"advertising department",      "宣伝部"
"general affairs department",  "総務部"
