ID,japanese,english
0,鋼鉄              ,alloy
1,天秤              ,balance
2,触媒              ,catalyst
3,真空度            ,degree of vacuum
4,電池              ,battery
5,摩擦              ,friction
6,直径              ,diameter
7,湿度              ,humidity
8,絶縁体            ,insulator
9, 石灰石           ,limestone
10,発電所           ,power plant
11,貴金属           ,noble metal
12,兵士             ,solder
13,石油製           ,petroleum product
14,品質管           ,quality control
15,放射能           ,radioactivity
16,感度             ,sensitivity
17,換気             ,ventilation
18,波長             ,wavelength
19,気温             ,temperature
20,触媒             ,crude oil
21,排出ガス         ,exhaust gas
22,交流             ,alternating current
23,除草剤           ,herbicide
24,電子顕微鏡       ,electron microscope
25,集積回路         ,integrated circuit
26,液化ガス         ,liquefied petroleum gas
27,単色             ,monochrome
28,強化プラスチック ,reinforced plastics
29,速度             ,velocity
30,洗剤             ,detergent
31,欠陥車           ,defective car
32,フロントガラス   ,windshield
33,下水             ,sewage
34,立方メートル     ,cubic meter
35,地層             ,stratum
36,合成繊維         ,synthetic fiber
37,酵母             ,yeast
38,環境基準         ,environmental standards
39,実験             ,experiment
